price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
435000.0,4.0,2.75,0.2201974183750949,0.046904748598148256,2.0,0,0,4,0.2599557522123894,0.11410788381742738,83,0,Kent,WA 98042
1165000.0,3.0,3.0,0.25968109339407747,0.0040639728757987294,2.0,0,0,3,0.2699115044247788,0.2033195020746888,89,0,Seattle,WA 98122
300000.0,4.0,2.5,0.14677296886864086,0.002969503902829784,2.0,0,0,3,0.21382743362831855,0.0,106,0,Auburn,WA 98092
249000.0,4.0,2.25,0.11085801063022019,0.005121183330538944,2.0,0,0,3,0.16150442477876106,0.0,90,6,Kent,WA 98030
378750.0,3.0,2.5,0.13591495823842065,0.002200115501406509,1.5,0,0,3,0.0984513274336283,0.18672199170124482,9,6,Seattle,WA 98118
399000.0,4.0,3.0,0.20425208807896736,0.004063041412843011,2.0,0,0,3,0.2975663716814159,0.0,101,0,Covington,WA 98042
545000.0,3.0,2.5,0.18147304479878512,0.015591758415767806,2.0,0,0,3,0.2643805309734513,0.0,102,0,Renton,WA 98056
735000.0,5.0,2.75,0.22930903568716782,0.0042595800964995625,2.0,0,0,3,0.334070796460177,0.0,104,6,Sammamish,WA 98075
350000.0,4.0,1.75,0.1427486712224753,0.01199444848078392,1.0,0,0,4,0.19690265486725664,0.02074688796680498,40,6,Kent,WA 98030
265050.0,2.0,1.5,0.032649962034927864,0.00137949663741873,2.0,0,0,3,0.04756637168141593,0.0,108,0,Seattle,WA 98106
1575000.0,5.0,2.75,0.24905087319665908,0.018174705191974515,1.0,0,0,4,0.22013274336283187,0.2676348547717842,75,0,Bellevue,WA 98004
400000.0,4.0,2.25,0.1556567957479119,0.006789433484230332,1.0,0,0,4,0.11393805309734512,0.21161825726141079,73,0,Shoreline,WA 98133
510000.0,3.0,2.25,0.07972665148063782,0.0006250116432869465,3.0,0,0,3,0.11615044247787609,0.0,106,0,Seattle,WA 98103
235000.0,2.0,1.0,0.049354593773728174,0.006782913243540304,1.0,0,0,3,0.07190265486725664,0.0,39,4,Seattle,WA 98108
235000.0,3.0,1.75,0.1199696279422931,0.00752063190446916,1.0,0,0,3,0.1747787610619469,0.0,60,6,Renton,WA 98055
720000.0,4.0,3.0,0.24145785876993164,0.010887870489390638,1.5,0,0,4,0.20022123893805308,0.2842323651452282,90,0,Bothell,WA 98011
165000.0,3.0,1.0,0.04555808656036447,0.005553382141992213,1.0,0,0,3,0.0663716814159292,0.0,65,5,Burien,WA 98168
335000.0,4.0,2.0,0.08428246013667426,0.0023230686115613183,1.0,0,0,5,0.04092920353982301,0.15352697095435686,10,0,Seattle,WA 98108
583000.0,6.0,2.75,0.1716021260440395,0.014691965200543975,1.0,0,0,4,0.1415929203539823,0.2033195020746888,74,0,Redmond,WA 98052
810000.0,3.0,1.75,0.12224753227031132,0.0119832709253153,1.0,0,2,4,0.10508849557522124,0.13692946058091285,52,0,Bellevue,WA 98008
